Score,Summary
4,GREAT PURCHASE
4,excellent!
4,Delicious
4,Eat without feeling guilty!
4,Pop chips variety
4,Popchips
4,These definately are 5 stars.  Deeelicious
4,Love pop chips!
4,pop chip goodness
3,Delicious and The Right Amount
4,BEST chips!!
4,Love those chips
4,LOVE THIS PRODUCT
4,Everyone Should To Try These At Least Once
4,Fully enjoyed
4,Great low-cal snack!
4,So good!
4,these are awesome
4,Great chips
4,popchips hmmmm hmmm hmmm
4,Loved it!
4,Worth The Money!
4,I love Pop Chips!
4,Great chip substitute!
4,Great low-fat no cholestrol snack
4,Great Chips
4,Entire family loves them
4,YUM!!!
4,CHIP LOVER
4,BBQ is terrific!
4,popchips r hella good
4,Excellent
4,Excellent Product
4,Pop Chips - Better tasting and Better for you than regular chips
3,Pop Chips
4,Popchips 6 Flavor Variety
4,Popchips
4,Yummy!
4,Great Natural Potatoe Chips With Low Calories!
4,Taste great
4,Love at first bite
4,Fantastic Product !!!!!
4,Sooo tasty
4,absolutely delicious
4,"Healthier, better tasting option"
4,Deliciousness for little calories!
4,Healthy yum.
4,Excellent!!
4,Popchips - The perfect snack to pop in your mouth
4,LOVE THEM
4,crunch without guilt
3,great taste now in a 100 calorie bag
4,Love this product!!
0,Weird flavors....
2,Can someone post some of the nutrition facts?
4,These are a great snack
2,pretty good  - but won't buy again
1,Not impressed
0,disgusting
4,Pop Chips Are Tops
1,I did not like the taste!
1,Didn't like the taste
4,Amazing!!
4,popchips
4,fantastic mix of Popchip goodness
4,Popchips 6-flavor Variety Pack.
4,Popchips
4,Yummy PopChips
4,YUM we love pop chips!
4,pop chips
3,Great Chip
4,Great Chips - Love the Salt & Vinegar
1,We really didn't like these!
2,They're Okay.......
4,Excellent 2 thumbs up !!!!
2,Nothing special - Baked Lays taste better
2,Cross between Pringles and a rice cake. The bonus is they're all natural
1,Too strong of flavors
2,If you're expecting full chip flavor reconsider getting another brand of chips.
4,Great for losing weight!
4,Good chips and not bad for you
2,Over Priced - Cheaper at Costco
2,Tasty but Salty
2,Not as good as I was lead to believe
4,GREAT CRUNCH SOLUTION!!!!!!!!!!!!!!
3,"Pop Chips, yum!"
4,Good but didn't receive what was ordered
1,Popchips vs Baked Lays? Baked Lays taste MUCH better.
2,weight?
2,NOT worth the online order NOR is cheap $$$!
4,Did not work for me
2,good chips but....
3,'Healthy chips'
0,Not so great
0,They Have Been Around Forever But You Did Not Know It
0,Hidden sources of MSG in the ingredients
1,get the salt and pepper box instead
0,Awful
0,"TASTE AVERAGE, INSANELY EXPENSIVE"
2,Low calorie snack
2,Not My Type of Potato Chips.
1,too salty
3,Satisfies the salty snack craving
4,2 POINTS PLUS  on Weight Watchers
3,So Good
4,Melts In Your Mouth
2,I only like the plain ones
4,Ships to APO
3,"Tasty, Crunchy, and Filling"
4,Yum!
4,"Low in Calories, High in Taste"
3,zippy
4,Buy them less from here!!! (While you can)
4,delicious
4,My new favorite chips!
4,This picky eater loves them (most flavors)
4,Pop Chips Rock!
3,Great guiltless snack
4,"Tasty potato chips, low in calories, great flavor"
4,"Love, love, love these chips!!"
4,"All the taste, but where's the fat?"
2,"Not bad, but not impressive! .8 oz equals about 15 chips."
4,Yummm!
2,Not bad But not great
4,pop chips rock
4,I love these chips!
4,Great Snack
4,Yum!
2,taste is perfect....
3,Good Snack Choice
4,Delicious and healthy chips!
4,Popchips!
3,pop chips
2,popchips
4,Popchips! My new favorite snack
4,Great Chips
4,"Low Calorie, Tasty Snack!"
2,"healthy, texture good, flavor strange"
4,"Great Taste, Crunchy"
3,YUM
3,love em! so does my big fat belly
4,"New favorite munchies, found!"
4,Treat of the Day
4,Yummy!!!
4,Pop Chips = Great!!
4,if you love them... you love them... popchips
3,Not bad
0,"poor,poor packaging"
2,partially good
3,"Love these, good variety pack"
4,Popchips Does It for Me
4,Snack of the hour!
1,My kids only liked one flavor!
4,Pop Chips...Yummy!
2,"Taste alright, but normal chips are better"
4,Love it! so tasty!
4,Pop Delicious
2,Like slightly charred popcorn
4,Yummie!
4,Delicious!
4,Very good!!
1,overrated
4,Not for everyone.. but I love it!
3,Most flavors are very good
3,Great idea
4,"Healthy and Good, What?!?!"
4,Healthy and Delicious!
4,Pop chips 6-flavor variety
4,The Best Snack Food!
4,Soo GOOD!
4,Too good to continue for long.
4,Delicious
4,The best Cheetos out there
1,Found the solution on how to open it
4,WORKS FOR ME AND SAVES ME $$$$
4,This thing is great!
2,A little hard to open
1,"Great concept, poor product"
1,"Too small, too hard to open"
0,can't open
1,"Great idea, such a pain to open and close"
4,Keeps basil on the counter...cat proof!
0,Save your money!
2,"keeps herbs fresh, looks nice--awkward to use"
2,Would be a great product....if it was easier to open
1,"Works, but hard to open...Buy larger version instead of pod"
1,"Sorry Oprah, not one of my 'favorite things'"
1,Wilted hopes
4,just works
4,WONDERFUL!!  This is perfect and saves me a fortune
4,Stylish Saver
0,Caveat emptor! Disappointing
0,this gadget just doesn't do the job.
4,Works great!
1,The Picture is Misleading
4,I am buying more!
0,Inside of can corroded
0,Not Safe!
0,Tastes like mushy pineapple
0,"Rotten, spoiled taste and look!!"
4,Great Option for Keeping Fruit at Work
4,Great Dessert!
2,tropical fruit
4,Best canned fruit I have ever eatten
2,Organic Fruit Review
1,Okay but some weird flavors
3,So much easier!
4,"makes a quick,tasty martini"
4,Dirty Martini Olive Juice
3,A good dirty martini
2,White Flecks?
4,Love this!
4,Better than the real stuff
4,This is the stuff !!
4,My husband loves his Dirty Martinis...
4,Dirty Martini Olive Juice
1,olive juice
4,Great Dirty Matinis
3,Dirty Martini
0,Not really olive juice
1,It's not worth it!
4,Morton Sea Salt
1,Hard to control the quantity.
4,Great Cooking Oil !
4,Yum
4,More Than A Little Mint
4,Absolutely wonderful
4,Great to feed others!
1,Sugar Bomb
4,These candies are delightful
4,"Great taste, less sodium"
3,sea salt
4,Nice condiment
4,Great product.
2,A taste that needs to be acquired...
2,Pok Chops
4,So yummy-wonderful inexpensive gift item!
4,Totally delicious and delightful!
4,Excellent service!
4,Great starting pack!
1,ddjj
0,Some Variety
0,Disappointing
0,Disappointed!!
1,20 of the 35 were decaf...Disapointed
4,"Teeny, Tiny Little Treats, But Good For What They Are, A Healthy Reward For Following Commands"
4,Great for training
2,Just an FYI
4,CAUTION!!!  ADDICTIVE CANDY&lt; VERY >
3,Mmmmmmm....Sooo good!!!
4,OUTSTANDING WERITHERS CANDY!!
3,A close 2nd to the original hard candy
2,"Good taste, way too hard."
4,This is great stuff
4,Best waffle mix I had in my life
4,Stonewall Kitchen Pancake and Waffle Mix Is Grrrrrreat!!!
3,Delicious but pricey.
4,Great Waffles for us non-cooks
4,Excellent Fluffy Pancakes.....
3,Good Basic Mix
3,"Good pancakes, lots of work"
4,"waffles, schmaffles !!"
4,Awesome
3,Great tasting pancake  mix
4,Stonewall Pancake Mix
4,Delicious waffles!
4,Great taste and great price! A+++
0,Disappointed with my first farmhouse pancake
1,Maybe it was just my batch?
4,BEST PANCAKES OF MY LIFE
3,pretty darn good but at an increased cost
4,Best pancakes EVER!!
4,I'm a believer
4,Excellent
3,A great backup from scratch
4,We love Stonewall Kitchen
4,Great Waffle's every time
4,Perfect Waffles
4,Deeeeelicious!
4,Delicious waffles in minutes!
4,Great Belgian waffle batter!
4,Stonewall Kitchen pancake mix
4,Farmhouse Waffle Mix
4,Our favorite breakfast choice
4,Stonewall Pancake and Waffle Mix
4,Excellent choice for Belgian Waffles
4,Great Waffle Mix
3,Tasty mixture but
4,Our Favorite
4,Pancake Mix the best!
2,Mouthful in Name Only
4,great tasting pancakes and waffles
4,Best Belgian Waffles in No Time!
2,I love this pancake mix
4,"Family  breakfast  (Grand Kids & Kids, 20 of us)"
4,Delicious and Easy
4,Scrumptious!
4,BEST
4,great stuff
4,The best!
3,YUM!
4,yummmmmmmmmm!
4,pancake/waffle mix
4,The Best Waffle Mix
4,The best waffle mix you can find!
3,Not as sweet as other mixes
4,Hands Down the Best Pancakes Ever
4,best ever!
3,Really good but expensive
4,Banana recipe
3,perfect for the weekend
4,"Tasty, texture great"
4,Best waffle mix ever!
4,Yummy Yummy Yummy!!!
4,Tasty pancakes - best mix we've ever tried...
4,Best pancakes ever!
4,Addicted
4,Best Breakfast
3,"Tasty pancakes, but a little flat"
4,Crispy and soft all at once.
3,Does wonders for one's popularity in the kitchen
3,We love it.
0,0 Stars if I could! YUK YUK YUK
4,The best waffles
2,Not So Great
3,Good but not great
4,"Delicious, makes a great gift"
2,Nothing special for what you pay
2,Just OK
2,Mine taste better
2,No better than Jiffy
0,processed taste
2,"Nice Pancakes, But Not As Simple As ""Just Add Water"" Mix."
4,Delicious!  Very Yummy
1,Not sure what the hype is ...
4,our favorite pancake mix
1,Not too impressed
1,Price versus taste don't add up
1,Confused...
2,"good, reliable results, expensive"
4,"Don't buy any other, this is the best!"
0,Very unsatisfied!
0,"Deceptive, more like a Christmas Sampler!"
0,VERY Unsatisfied
0,Not what I ordered.
0,Extremely Disappointing
2,Not all Summer?
2,Recieved the Holiday Sampler with a Couple Summer Teas
0,Worst Summer EVER
0,Not Summer Items!
1,Are these all the k cups that come out of other packages?
3,Variety matches the (current) picture
2,Ok if you need to figure out what you like
3,kcup brewers pack 35
3,"Received 2 iced coffee, 3 iced tea, 2 holiday coffee"
3,Interesting assortment
3,Very Good Flavor
2,They should say just add milk....
4,Delicious
4,Great new GMO-free snack!
4,Perfect Gift
4,Excellent rice crackers
4,Best crackers ever!
4,Great for you
4,YOU CAN'T EAT JUST ONE!
4,Unavailable?!?!?
4,Loved!
3,Excellent non-gluten product
3,Mmmmmmmmm
4,Crisp and delicious / extreme price hike
4,Rice
4,"Very good product, especially for gluten and dairy free friends"
4,crispy crackers w/o Gluten
4,Excellent snack
4,Great Snack
0,Wrong product
4,Cheaper from Penta.com
4,Much Cheaper through Penta's Website
0,wow this stuff is incredible!
4,To wash my record collection
4,rejuvenating water
0,Don't waste your money
2,Get's old too quickly!
4,Best way to eat Sunflower seeds!
4,Awesome Candy!!
3,"Great product, poor packaging."
4,I don't know what I'd do without this...
4,We LOVE these
4,Healthy snack
4,Super healthy and Baby loves them
4,"good taste, baby love it"
1,My son does not like it...
4,"Great in a pinch...portable, healthy"
4,Yummy healthy snack we love
4,Yummy!
3,"Tastes good, lots of crumbs"
4,Fantastic
4,my son LOVES these
4,great snacks
2,Crush very easily (dust everywhere!) and they don't taste as good as Gerber
4,Why I received only one?
4,Very tasty - just the right amount of salt and fresh flavor!
4,"Great invention, tasty, healthy"
2,Not impressed
4,Tasty and convenient!
4,Great idea! Yummy product!
4,Plum is the best!
4,Love it
4,Great for traveling or throwing in your diaper bag
4,Would buy again
4,Yum-Yum MishMash
4,what an awesome idea!
4,YUMMY and my son loves them!
4,"Great for adults, too!"
4,Great tasting Plum Tot
4,My 7 month old daughter and 18month old twin niece and nephew love these
4,great product/brilliant packaging!
2,Glorified baby food
4,Miam-Miam!!
0,goji cacao & maca yuck
4,These are amazing.
0,Half-empty cans and greasy inconsistent ingredients
2,unfilled cans
0,Please Think Twice...
4,Great
4,My dog love this!
4,We Love Grammy's!
4,my rat terriers love this stuff
4,MORE THAN A DOZEN STARS
3,Gets my picky dog eating...
4,More Grammy Pot Pie Please!!
0,Was surprised with the layer of fat on top of contents.
2,My Dog Loves This Food
0,CAUTION/DENTED CANS
4,Grammy's Pot Pie for Dogs - Dogs Love It!
3,100 Calories BUT...
4,Great tea.
3,Tastes very good!!!
4,Wu-yi is
3,Fine Quality Tea!
3,Found at the dollar store
1,Not the same tea...
4,"Nice flavor, great value!"
3,Great oolong for the price
4,love this tea!
4,quality tea
2,...eh
1,Tea is okay... teabag isn't.
4,Good 'ol Dubble Bubble Taste! :-)
1,Tasty but...
3,Satay Noodles
0,Too oily and lacks flavor
3,tatsy!
3,Really Good
3,pretty good stuff
0,Flavorless Sludge
3,"Surprisingly Flavorful, But Dine With A Friend"
2,Not Real Peanut Satay
3,"Mild Taste, But Delicious."
4,Excellent taste
4,Wonderful condiment
4,Exotic Pantry Stuff - Pomegranate Molasses
3,satisfied
4,Great Find!
4,I would recommend this product.
4,Love it! I use it for so many things including my mother's secret recipe
4,Don't use this in place of regular molasses!
4,Excellent by itself or in hummus/baba ganoush
3,Krinos Tahini
4,Best Tahini I have ever had. And we buy a lot of it.
4,Best Tahini I've had!
4,Good hummus as a result!
1,Bitter
3,Nice!
1,It's A Boy Bubble Gum
0,Buble Gun Cigars......real cigars might have tasted better
0,stale cigars
4,Great Announcement for Non-smokers
4,Fun for our daughter
4,Everything Iv'e ordered so far.
4,Best value for the genuine article IF you have PRIME
0,CHEAP IMITATION - DO NOT BUY
0,False advertising!
0,False advertising!
4,"Great Product, Awful Price"
1,You don't get what you order
0,Different product than the photo
0,All 12 cans were terribly banged up and dented!
2,"False and misleading product data, but they do taste good"
3,love it except for the price
0,BEWARE--NOT D.O.P. certified
3,NOT DOP Certified! But Organic!
0,Not DOP
4,CENTO SAN MARZANO
4,The best
0,The picture shows dop and they are not
1,damaged cans
0,D.O.P? Not really....
4,GREAT ITALIAN
3,a little disappointing
4,Cento  Time
0,Damaged merchandise
3,dented can
4,Too Expensive
2,Not sure what I got
0,Dented cans
4,Squism needs help!
0,It's a shame to use so much corn syrup for babies!
0,FIRST INGREDIENT IS CORN SYRUP!!!
2,"Very useful with true Lactose Intolerance.  Be aware, this is mostly sugar, NOT made from milk."
4,Reduced spit-up and a happier baby!
0,This formula is terrible!
4,Similac Sensitive
1,Solves Colic Within One Day - But It's Corn Syrup-Based
4,Costco B&M has it for $0.81/fl oz!!! Way cheaper.
2,Worked well but had added sugar
4,Great For Cakes
0,Don't buy this product unless you are looking for shredded coconut
0,Little Flavor
3,Excellent service from vendor!!!
1,Disappointing
3,Great little conversation piece.
0,Dispenser too small
3,Por Kwan Chilli Paste w/ Sweet Basil Leaves Hits the Spot in Vegetarian Dishes
4,Great to keep on hand for desserts!
3,Good for cravings
4,A wonderful dessert
4,Excellent base mix
3,pudding
4,woof woof
4,Good stuff.
4,Dogs Love it!
4,Wonderful fudge
4,Extraordinary!
4,Amazing! Worth every penny!
4,Amazing Tea - My Favorite
4,Delicious tea!
4,Totally delicious
4,Delicious tea with a great aftertaste
4,Love it.
4,Favorite Tea
4,Great Spicy taste with hint of sweet
4,Most delicious tea
4,Excellent!
4,Excellent tea
4,A beautiful experience
4,Just Mmmmmmmmmm
4,Taste good
2,Watch out for the FAT!
4,Top quality Salsa
4,The best healthy muffin
4,"Delicious, nutrient-packed, fast--"
2,The Muffin Tops Are Better
1,Not a corn muffin for a Cornhusker
4,spray mix
3,its not what im used to...but hey its dietetic and healthy
0,Avoid This Seloler
1,Below standard
4,WOW!  What a Deal!!
2,"Rishi Tea Loose Leaf Tea Bags, 100-count (Pack of 6)"
4,Rishi Tea Loose Leaf Tea Bags
0,SKIMPY for the price charged!!  Shocked!
4,Scrumptious!
4,Good Stuff
4,Charlee Bears
4,I feel good about giving these treats to my pups
4,Great low calorie treat for overweight dogs or for training treats!
4,The Best Training Treat
4,These are amazing!
4,Great Low Calorie Training Treats
1,Dog Treats
1,Below standard
4,Marathon Runner
4,Good Stuff
3,Really like it.
4,Great for running recovery
4,You bet your life!
4,Truly concentrated juice
3,Cheaper than other brands
4,Delicious tart cherry concentrate
4,Helps with sore joints and muscles
3,tart cherry concentrate
4,Excellent
3,tastes like fresh cherries
1,Does NOT Put me to sleep!!
1,Below standard
4,My favorite crackers
4,The best tasking crackers ever.
4,SKYFLAKES
4,"Exactly what I ordered, plain and simple"
3,Classic Candy
4,"Mmm, Fresh Candy"
4,Gotta love Wonka
4,great product at a great price
4,Excellent
4,Excellent
4,Chocolate Italian kisses - need I say more?
1,Incorrect packaging
4,"Baci's are pure heaven - great gift, stocking stuffer!"
4,Yum-o
4,What a treat
3,"Great, healthy dog food for dogs with food allergies"
4,Great for an allergy dog
4,I got the wrong food but dog ate it up
3,Great for Dogs that Chew their Food
4,JJA
4,"Great alternative to ""science diet"" allegry diets"
4,Best dog food--no ear infections
4,quality comes at high price
4,The best pizza I have ever had!
3,Pretty Good Dough
4,Yum!
4,Love it!
4,CHRISTMAS CANADIES
4,Love These!!
4,Great to be able to get this again
3,YUMMY Indian DHALL
4,Yellow split peas
1,"No caf, but no taste, either"
4,Great value
4,Happiness In A Deep Dark Cup
4,Finally! Something good from Gevalia
4,Gevalia Melange Maison Corse
3,good coffee - brews hot
4,This is THE Verona replacement
4,"Great coffee, possibly the best for tassimo"
4,Great coffee
3,good but pricy
4,Aunt Gussie's Pecan Meltaways
4,Absolutely loved them!!!
2,"tasty, but stale (hard)"
3,"Good dessert for someone gluten sensitive, dairy sensitive and diabetic"
0,A box of stale crumbs
0,Aunt Gussies Highfat Cookies
4,Just Great
4,Hippy Eucharist!
3,Chewy and Satisfying
2,Ehh
3,Great cookies - TERRIBLE PRICE
3,Good but not great
4,Best Healthy Cookie I've Ever Tasted!! Pretty sweet!!!!
4,"Nice, Big Pieces & Big Almond Flavor"
4,New Favorite Dark K-Cup
4,Oooh. I like this!
4,Great Coffee
4,Amazed
4,Yummy!
4,Caribou Coffee/Strong!
4,The Best Coffee for Depression and Lifting up Your Mood
4,Most Cozy flavor I have tried.
4,Wonderful dark coffee
4,the best k-cup
4,This is good coffee
4,Good Bold Coffee
3,nice flavor
3,Delicious
3,Wake Up Call
4,rich and delicious
4,Like it but hard to find
4,First impression: chocolate
4,"Caribou Coffee, Mahogany"
4,My favorite
4,Love it!
3,Smooth and tasty and an absolute dream come true for those who enjoy bold dark roasts...
3,Not like fresh but gettin better!
4,Caribou Mahogany
4,down to almost none ....
4,Coffee is good; name is good....
1,burnt toast
4,Love Caribou!
4,yum
4,great coffee
4,Great tasting coffee
4,Best Caribou
4,Great coffee
3,Yummy coffee
4,Excellent coffee!
4,Great coffee
4,Fantastic Stuff !!!
4,Great Coffee!
2,Nice smooth flavor - but not strong enough for me
4,Best K-Cup to Date
3,Caibou mahogany-k-cup
3,"Excellent presence, not too smokey, smooth finish."
4,Best overall coffee
4,MY FAVE
4,Bold K-cups coffee
4,coffee lovers
4,We love this coffee.
3,A bit too strong for me
2,not my cup of coffee
3,Nice balanced taste
3,Great taste. Not bitter.
4,caribou
4,Mahogany k cups
4,Lives up to its appealing name
4,Yum
4,Great simple coffee
4,I love Caribou Mahogany!
4,"Mellow, full bodied"
4,SMOOOOTH!
4,Best K-cup out there.
4,Really excellent
4,Caribou Coffee's Mahogany Review
2,Good coffee
0,Disapointed
2,Full bodied but bitter
4,Best coffee
4,Best coffee ever
3,Smooth But Flat
0,Didn't like it
4,Sweet but not too sweet!
4,O.N.E. Coconut Water with a Splash of Pineapple
4,"If you're looking for something a little more ""Pina Colada"" this is it"
2,BEWARE...INGREDIENTS HAVE CHANGED
0,New formulation for 10/2012 is not good at all!
4,Delicious and refreshing
4,LOVE THIS STUFF
4,"great taste, not too sweet, very refreshing."
4,O.N.E. Coconut Water!
4,Very tasty
4,THE BEST drink on earth!!!!!!!
3,Not a sports drink
4,Amazing (even if it is trendy)
4,Good Taste but Not for Everyone
1,why add sugar?
4,Coconut Water
4,"Lots of flavor, but not too sweet"
1,Terrible flavor
4,This stuff is delicious
4,Really a GOOD product!
4,Best ever!
2,Definitely Pineapple
2,Coconut Water w/a Splash of Pineapple
2,Plain is better
0,Bleh... cane juice is 3rd on ingred. list.
1,"Maybe I just don't ""get it"" ..."
3,If You REALLY Like Sweet...
3,Tasty.
2,"Smaller-than-usual package size, overly-sweet taste"
2,Not what I expected!  Interesting taste
2,Not as healthy as you would think
1,Just didn't taste good to me
1,Bland
1,Needs a bigger splash
1,Pineapple flavored coconut water from Indonesia... there's something we really need!
4,The prime rib of beef jerky!
4,"Healthy Alternative to Kibble, Canned or Raw Diets"
4,This food is not unbalanced.
4,Great food
4,GREAT food
3,Great product if you are willing to do the work
4,Otto likes it!
4,picky puppy...
3,Sojos original
0,Caution - poorly balanced nutrition!
4,My Dogs are Wild About These Treats!
2,IT'S OK FOR SOMETHING DIFFERENT
3,Decent Light Roast Organic
4,Just like the restaurant!
4,"Authentic taste, easy to prepare!"
4,"Good value, good taste"
1,theres better curry paste out there
4,Diet Peach  Snapple Delivered Safely & Quickly
4,"""Yep--it's a diet !!!"""
4,Good quality for a good price.
3,good stuff!
4,Highest in protein
4,Yummy
4,Mrs. May's Pumpkin Crunch  is terrific
4,Tasty and Light
4,good snack for everyone
4,I Want More!
4,Addictive
4,yum
4,Tasty
4,goody good
4,Combo Rose Food/Systemic Insecticide
4,Easy Rose Care and great product
4,Excellent Product
0,"Misleading product!!! If you want no bees, then use it."
2,Good for the leaves not for the Flowers
4,A Must for the Gardener
0,Avoid like the plague---contains product killing honeybees
4,Fisher Pecan Chips
4,hot mustard
4,Thomy Mustard Maniac
4,Thomy Scharfer Senf
4,Ummm Ummm Good...
4,Best. Mustard. Ever.
4,Hot
4,Super mustard
4,Wonderful!
4,Delicious low cal treat
4,"Awesome fresh tasting Lobster Soup. Perfect just out of can, heat an serve."
1,Tastes ok but has bits of shells
2,Unlisted ingredient of Baxter Lobster Bisque
1,Too watery
3,Baxter's canned soups rule!
2,It's good for canned soup.
0,"Disgusting, nasty, inedible"
3,Pretty Good
0,ugh
2,I've had worse but I've had better too.
1,As far as canned soups go
0,Bad tasting soup
2,Lobster Tomalley=health risk
4,"Lovely seeds for your cereal, baking or yogurt"
4,The best flaxseeds I've ever had
4,Fiber packed and nutrient rich
4,Great source for omega3's!
4,Organic Golden i
4,Good product
4,Great on Conflakes
4,good in almost anything
4,So good for you!!
4,Healthy Goodness
4,Great stuff
4,Very happy with this purchase!
4,Great Flaxseed and Delivery Service
4,Very healthy!
2,It would be a 5 if it weren't for the rocks.
4,red mill did it again
4,They're Good Seeds.
1,good seeds but gravel bits
4,A must have for healthy life
4,good stuff
4,Excellent Quality!
4,Bob's Red Mill Organic Golden Flaxseed
2,a little expensive
3,"flax seed, recommended brand"
4,the product itself is fine...
3,It's bird seed.
1,"Tastes great but pkg says ""Made in China"" so I won't buy it again"
0,"""Health food"" from China? Doubtful"
4,Delicious
4,Great Taste without High Fructose Corn Syrup!
0,What is the carbon footprint of this product?
4,Fantastic!
4,Product not made in China!
4,The Best of the Best nut cluster snacks I've ever had
4,Mrs. Mays almond crunch
3,But quality seems to be slipping
4,DELICIOUS!
3,Sweet & nutty
3,"Made in China, but I still enjoy it"
0,Made in China?!
4,great snack
4,Mrs Mays Anonymous
4,Love Mrs. May's Products
4,"Delicious, addictive and healthy too!"
4,Delicious healthy snack
4,They're So Good They Evaporate
0,This product is made in China
4,Love the nut!!
4,Great Almond Crunch!!
0,Great taste - but honestly what goes inside ?  read on ...
4,quality
4,Mrs. May's Almonds make my days!
2,lacey
4,Best flavor!
4,Perfect gift with a touch of the Southwest
2,It is okay
4,Italy's best pasta and its organic
4,Noticablely tastey!
4,Wow. Excellent.
4,Tastes just like it was home made.
3,Good
4,"What can you say, there chiclets"
4,Chiclets--Fond memories and a taste of the past--fresh as new!
4,"Finally, an affordable, delicious green tea powder"
4,great alternative to bottled green tea
3,nice substitute for soda or sugary tea
4,Flavorful and refreshing
4,Very Reasonably Priced and Delicious
3,lots of uses for this green tea...
1,Crushed up leaves!
4,My Experience
4,VERY CONVIENENT!
2,Handy but not to tasty
3,Stash Instant Green Tea
1,Stash Premium Mint Green Iced Tea Powder
0,No Flavor - Not Authentic
4,Good tea
4,Stash Green Tea Powder
4,Love it!
3,For ginger fans
4,Great for on the go!  Makes water a little less boring!
4,Great health benefits
4,Good for on the go
3,"Good tea taste, not sweet"
4,Tastes GREAT!!
1,Way too weak for my tastes
3,"Mild taste, easy to mix, will buy again"
2,Trying this product for the first time
4,got me off the diet soda
4,Nice Green Iced Tea Beverage
4,"YUM....Yum, Yum!!!!"
1,Way too weak for my tastes
3,Mom of 5
4,Best Instant Green Tea Ever
1,Not for Me
4,ice tea
4,Great tea
4,Great tasting and easy to use
4,Perfect summer tea
2,Just had a glass today
0,Doesn't have taste...
1,"Of al the Stash iced teas this is the best, and it is still not all that good"
1,way too weak for my tastes
0,Awful
2,Makes great drinks but you have to use a lot!
2,Not bad.  A bit light.
4,Great product!
4,First time purchaser!
3,quality lightly sweetened green tea powder
4,"not too sweet, not too strong, just right"
3,Great pick me up on the go - hot or cold!
4,Good stuff
4,Wonderfully refreshing drink
4,Easy and tasty for better health
4,Very refreshing!
4,Love it!
4,Refreshing addition to water
3,Powdered Green Tea by Stash
3,Refreshing flavor
4,Just as expected
4,Great taste and convenient
4,Tea
3,Refreshing summer beverage
0,waste of money
4,Great product - at last!
4,Lightly sweet and cheeper than an Jamba Juice Matcha Shot!
0,Terrible
0,"Beware, if you have a corn allergy!!"
4,lightly sweetened green iced tea powder
4,Great Product
0,Not So Much!
3,"Pretty good stuff, with the right sweetener"
1,Don't bother
1,Not worth it!
1,I wouldn't bother.
3,powdered tea
1,mona lisa
0,stash tea powder review
0,The mint tea I bought
4,Real Rose petals and all  the delicious flavor!
1,"eliminate the ""natural flavor"" additive"
0,I hope I just got a bad batch
1,"Not Too ""Rosey"""
4,rosematic
4,NO MORE PEPSI FOR ME!!
3,pleased
4,Perfect!
3,Davidson's Rose Congou Leaf Tea
4,Lovely Tea
4,Yum.
4,Adzuki beans
4,yummy
4,beans
4,Works for me!
2,decent but Monin is better...
0,Don't waste your money
4,Koala Crisps rock!
4,Lemonylicious
4,the best ever
4,Easy Summer dessert
3,A Caveat
4,Great Popcorn
3,Keep poppin!
3,Tender
0,Shipping is INSANE!!!
4,Our Favorite Popcord
4,good popcorn
1,"Too small, too much shell & not enough white fluffy part"
1,Tasty popcorn but kernels too small for a hot air popcorn popper
2,Small pops
4,The Best
4,Amish Baby White Popcorn
4,POPCORN DON'T GET ANY BETTER THAN THIS
4,Best Popcorn
3,baby white popcorn is tasty and has no hulls to get into teeth
4,Enjoy
4,Best Popcorn Ever
4,GREAT
3,Good Stuff
4,Popcorn lovers love this popcorn!
2,dissappointed
3,Very good popocorn
3,good stuff
4,Crispy & light!
4,Spoiled me for other popcorn
2,Heed the advice on hot air poppers
3,Amish Country Baby White Popcorn
1,average taste
4,Great little mini popcorn!
4,Tops in the Popcorn World
4,GREAT HULL LESS POPCORN
0,Poor product
0,Rip off Alert
2,Okay but there's much better
2,Good but----
4,very good
1,This is not hull-less popcorn! Or even close.
2,Received wrong product
3,"Pops well, not much flavor"
3,"Wow, it's worth the cost for tender white hulless"
4,Amish Country Baby White
4,wonderful
4,yummy
4,Best Popcorn Ever
4,Microwave Popcorn
4,wonderful
4,"Just a tad too small for my wife's taste, but kids and I love it"
3,small but good
4,Love it
4,great popcorn
4,The best popcorn I've ever tasted...
4,fabulous popcorn
4,Yummy popcorn.
4,"great product, a little pricy, but worth it."
4,A great popcorn for small children!
0,the worst popcorn on the planet
4,Excellent popcorn
1,popcorn
0,Wabash  Valley Farms Amish Country Baby White Popcorn
2,Popcorn was alright
0,Nonthing but deadheads
2,Small Kernals
0,amish popcorn
3,Delicious Popcorn
0,Baby White Popcorn
1,great popcorn  terrible price for shipping
0,Amish County Baby White Popcorn not really in stock
4,Yummy!
3,thirty bucks?
4,Flies Begone
4,"In my opinion, the best clam chowder out there!  A perfect winter meal."
4,"Yes, it's from a can..."
1,"I, too, am perplexed"
3,"Bar Harbor All Natural New England Clam Chowder, 15-Ounce Cans (Pack of 6)"
1,Tasteless
3,Clam Chowder
4,Clam Chowda Pizza! It's Awesome! And Simple to make!
2,Decent canned clam chowder
4,Bar Harbor News England clam chowder
4,Possibly the best canned clam chowder available.
0,"What Is This ""Stuff?"""
4,Simplicity at it's best
1,Not very good
1,Nothing Special
0,Bar Harbor where are the clams????
4,the best
3,will buy again
3,Clam it up
0,Rather Have Chunky
2,Bit of a disappointment on two fronts
